"ID","Title(16)","Role","Note","Subcommittee","Decision","ReviewsTotal","ReviewsDone","ReviewsLeft","ReviewsTentative","DiscussionComments","CommitteeScore","ReviewerScore","OverallScore","OverallStdDev","Track","Minitrack","Submission (page count)","Pname","Pscore","PDecision","PBest Paper Nomination","S1name","S1score","S2name","S2score","S3name","S3score","S4name","S4score","E1name","E1score","E2name","E2score","E3name","E3score","E4name","E4score","E5name","E5score","E6name","E6score","E7name","E7score","E8name","E8score"
"1286","Grid-Aware versus Grid-Agnostic Distribution System Control: A Method for Certifying Engineering Constraint Satisfaction","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1452","Quantifying the Flexibility by Energy Storage Systems in Distribution Networks with Large-Scale Variable Renewable Energy Sources","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","8","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1704","Physics-informed Machine Learning Method for Forecasting and Uncertainty Quantification of Partially Observed and  Unobserved States in Power Grids","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","7","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1826","Autonomous Multi-Stage Flexible OPF for Active Distribution Systems with DERs","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1832","Impact of Large Distributed Solar PV Generation on Distribution Voltage Control","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2032","Data Privacy in the Smart Grid: A Decentralized Approach","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2075","Environmental Impacts of Using Energy Storage Aggregations to Provide Multiple Services","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2231","Operation Strategy of the Electrical Vehicles with the cooperative Charging and Price Sensitive Charging","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","8","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2434","Energy Cost-Oriented Scheduling With Job Prioritization","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","8","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2477","Grid Vulnerability Analysis based on Probabilistic Cascading Failure Model and Wind Power Installation","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","8","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2547","Stackelberg Competition Between Merchant and Regulated Storage Investment in Wholesale Electricity Markets","reviewer","","Electric Energy Systems","","","","","","","","","","","ES","ES - Markets","8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2734","Analysis of Wind Ramping Product Formulations in a Ramp-constrained Power Grid","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","8","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2783","The Value of Distributed Energy Resources (DER) to the Grid: Introductionto the concepts of Marginal Capital Cost  and Locational Marginal Value","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","6","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3077","Probabilistic Bounds on the Impact of Potential Data Integrity Attack in Microgrids","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3111","Deep and Shallow Networks based System Identification: An Application to Virtual Battery Model for an Ensemble of AC Devices","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","10","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3114","Continuous-time Look-Ahead Scheduling of Energy Storage in Regulation Markets","minitrack chair","","Electric Energy Systems","","1","0","1","0","0","","","","","ES","ES - Resources","7","Anders"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
